"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EVI2A",294.039311302983,0.51723683489937,0.114755000008036,4.50731414633915,6.56533942079592e-06,2.28195779844408e-05
"EVI2B",695.508283400756,0.0403014460141912,0.110947433346556,0.363248114882525,0.716419548220079,0.769039719531841
"EVI5",1145.70606205704,-0.351726316922628,0.0530651384450152,-6.62819936458053,3.39806336869582e-11,2.34126245228414e-10
"EVI5L",31.4665333759388,-0.459936390525387,0.138963859570648,-3.30975544250454,0.000933775185875534,0.00219641864724076
"EVL",288.616546382965,-0.491200163035974,0.116801571037161,-4.20542428217593,2.60592823937462e-05,8.21345805554942e-05
"EVPL",187.050819847911,0.106953732336961,0.118247163792,0.904493003528566,0.365734042606796,0.442092100539322
"EVPLL",2.85351188259508,0.826543702733336,0.378112080651391,2.18597538938563,0.0288174059198917,0.0484093938746379
"EWSR1",1268.93728602092,-0.173060783621425,0.0630626060787154,-2.74426945510956,0.00606457357830849,0.012023683476429
"EXD2",289.102881050664,0.0756188894800418,0.059186642309078,1.27763438725165,0.201378369851094,0.265418583023575
"EXD3",46.4216013422878,-0.682655513294351,0.18365607343318,-3.71703206179415,0.000201576870688129,0.000540340057669335
"EXO1",24.7014155144451,1.53807705043016,0.230591838224127,6.67012788603212,2.55580614134853e-11,1.78967749619477e-10
"EXO5",46.8505250402665,0.385354927050881,0.100484966966926,3.83495102484053,0.000125589316529173,0.000350660077702137
"EXOC1",785.507128279049,-0.113792514362637,0.0518556681642105,-2.19440841071206,0.0282060618006741,0.0474835392348431
"EXOC2",517.56435025551,-0.146381535817949,0.0501680250827539,-2.91782535940945,0.00352481704451605,0.00736430755972627
"EXOC3",245.280910776421,-0.206684806572295,0.0838067095523887,-2.46620834627917,0.0136551881659544,0.0249009885542984
"EXOC3-AS1",13.5088075824998,0.426465119016883,0.191231565863547,2.23009792913157,0.025740942283404,0.0437474606349171
"EXOC3L1",19.0570640858616,-0.923262976488008,0.195302067322209,-4.72735895296392,2.27458959294332e-06,8.45832962474339e-06
"EXOC3L2",14.8637175471636,-0.738572994669985,0.212140818470847,-3.48152232085162,0.000498572226195404,0.00124073405471854
"EXOC3L4",8.05516747122029,-0.692410491256136,0.276459177202893,-2.50456685237104,0.0122601433454674,0.022631367002771
"EXOC4",711.246938014257,-0.18076542106692,0.0634473551986217,-2.84906156452125,0.00438483946936647,0.00896378264011555
"EXOC5",1430.41336756928,-0.148777049608213,0.0655482530105761,-2.26973325412972,0.0232237724617563,0.0399675112370317
"EXOC5P1",3.26334778109714,-0.385444145540174,0.169301565039089,-2.27667207595618,0.0228058152332845,0.0393177697087035
"EXOC6",568.102571331679,-0.658273337979008,0.0608106352382411,-10.8249705894381,2.62163305418048e-27,9.022993198032e-26
"EXOC6B",561.547368829256,-0.309250227895437,0.05562338678362,-5.55971589968889,2.7021414320967e-08,1.31397367272866e-07
"EXOC7",325.995809560142,-0.0355717370301038,0.0754838696478135,-0.471249515904146,0.637462562429727,0.698936186448552
"EXOC8",376.330835681685,-0.0221721090017429,0.0700898386767188,-0.316338422520976,0.751745650407779,0.79943335954824
"EXOG",136.7886307205,-0.342238935697797,0.085803445795128,-3.98863859750992,6.64535728672338e-05,0.000195554948346752
"EXOSC1",120.714539422695,0.277828995902725,0.0758242768208777,3.66411665961616,0.000248193651041356,0.000652710389195621
"EXOSC10",504.675466500288,-0.0786627396032087,0.0503854935327316,-1.56121800319585,0.118472322614109,0.167607038672583
"EXOSC2",82.0885426903261,0.19702467025759,0.0959305391833916,2.05382636160248,0.0399925005332309,0.0645872687341123
"EXOSC3",170.068182525363,-0.0283300256913241,0.061196561603096,-0.462934925577433,0.643411012339219,0.704405467509563
"EXOSC3P1",9.67461114788704,-0.580240256840917,0.19986102518918,-2.90321865552169,0.0036934866421194,0.00768504321215489
"EXOSC4",72.1234489844132,1.25881782317405,0.110697561651789,11.3716851969495,5.78595753077854e-30,2.5547497200197e-28
"EXOSC5",33.4993288736897,1.37564602052222,0.12263749019251,11.217173625804,3.35832656479725e-29,1.38050872000243e-27
"EXOSC6",273.78409994692,-0.109807447779958,0.0648122869860424,-1.69423812808219,0.0902200423220522,0.132166950520073
"EXOSC7",176.806314935751,0.523791288703854,0.07229312706052,7.24538154595752,4.31223516149134e-13,3.61553850684534e-12
